,type,description,support_material,subtype,filler_loading,previous_thickness,mean_thickness,mean_pore_size,pore_volume,specific_surface_area,aging,surface_area,temperature,feed_pressure,permeate_pressure,delta_pressure,feed_flow_rate,sweep_gas,sweep_gas_flow,stage_cut,x_He,Py_He,Pe_He,x_H2,Py_H2,Pe_H2,x_CO2,Py_CO2,Pe_CO2,x_O2,Py_O2,Pe_O2,x_H2S,Py_H2S,Pe_H2S,x_N2,Py_N2,Pe_N2,x_CO,Py_CO,Pe_CO,x_CH4,Py_CH4,Pe_CH4,x_C2H6,Py_C2H6,Pe_C2H6,x_SF6,Py_SF6,Pe_SF6,provided_data_type,in_reference_data_location,reference,url
962,zeolite,one-side modified,alfa-alumina disks,ZSM-5,0.0,,7.0,0.58,,,0.0,,323.0,300000.0,100000.0,200000.0,100.0,N2,12.0,,1.0,562.066564976668,2.68700387463894e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,permeance,fig 10,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
12,polymer,PI-0.25,none,polyimides,0.0,,50.0,,,411.0,0.0,,308.0,200000.0,1000.0,199000.0,,none,,0.5,,,,1.0,238.0,1.59288907545472e-09,,,,,,,,,,,,,,,,,,,,,,,,,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
13,polymer,PI-0.50,none,polyimides,0.0,,50.0,,,219.0,0.0,,308.0,200000.0,1000.0,199000.0,,none,,0.5,,,,1.0,159.0,1.06415698738362e-09,,,,,,,,,,,,,,,,,,,,,,,,,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
14,polymer,PI-0.75,none,polyimides,0.0,,50.0,,,63.0,0.0,,308.0,200000.0,1000.0,199000.0,,none,,0.5,,,,1.0,117.0,7.83058915244548e-10,,,,,,,,,,,,,,,,,,,,,,,,,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
15,polymer,PI-1.00,none,polyimides,0.0,,50.0,,,53.0,0.0,,308.0,200000.0,1000.0,199000.0,,none,,0.5,,,,1.0,55.0,3.68104618277351e-10,,,,,,,,,,,,,,,,,,,,,,,,,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
16,polymer,IPI-0.25,none,ionic copolyimides,0.0,,50.0,,,367.0,0.0,,308.0,200000.0,1000.0,199000.0,,none,,0.5,,,,1.0,201.0,1.34525505952268e-09,,,,,,,,,,,,,,,,,,,,,,,,,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
17,polymer,IPI-0.50,none,ionic copolyimides,0.0,,50.0,,,83.0,0.0,,308.0,200000.0,1000.0,199000.0,,none,,0.5,,,,1.0,78.0,5.22039276829698e-10,,,,,,,,,,,,,,,,,,,,,,,,,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
18,polymer,IPI-0.75,none,ionic copolyimides,0.0,,50.0,,,56.0,0.0,,308.0,200000.0,1000.0,199000.0,,none,,0.5,,,,1.0,30.0,2.00784337242192e-10,,,,,,,,,,,,,,,,,,,,,,,,,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
19,polymer,IPI-1.00,none,ionic copolyimides,0.0,,50.0,,,41.0,0.0,,308.0,200000.0,1000.0,199000.0,,none,,0.5,,,,1.0,8.4,5.62196144278137e-11,,,,,,,,,,,,,,,,,,,,,,,,,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
104,zeolite,O3at473K,alfa-alumina tubes,SSZ-13,0.0,,1.2,0.38,0.27,624.0,0.0,,298.0,303000.0,103000.0,200000.0,4.0,none,,,,,,1.0,16584.7164760642,4.62493236943917e-06,,,,,,,,,,,,,,,,,,,,,,,,,permeance,fig 7,LI Y et al 2021,https://doi.org/10.1016/j.memsci.2021.119349
