,type,description,support_material,subtype,filler_loading,previous_thickness,mean_thickness,mean_pore_size,pore_volume,specific_surface_area,surface_area,temperature,feed_pressure,permeate_pressure,delta_pressure,feed_flow_rate,sweep_gas,sweep_gas_flow,stage_cut,aging,gas,Py,provided_data_type,in_reference_data_location,reference,url
939,2,127,9,22,0.0,,7.0,0.58,,,,473.0,300000.0,100000.0,200000.0,100.0,364,12.0,,0.0,260.0,2842.35767752037,permeance,fig 7,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
940,2,127,9,22,0.0,,7.0,0.58,,,,373.0,300000.0,100000.0,200000.0,100.0,364,12.0,,0.0,260.0,3167.20458137244,permeance,fig 7,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
941,2,127,9,22,0.0,,7.0,0.58,,,,323.0,300000.0,100000.0,200000.0,100.0,364,12.0,,0.0,260.0,3323.25636644305,permeance,fig 7,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
957,2,128,9,22,0.0,,7.0,0.58,,,,773.0,300000.0,100000.0,200000.0,100.0,364,12.0,,0.0,260.0,1153.40777235958,permeance,fig 10,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
958,2,128,9,22,0.0,,7.0,0.58,,,,673.0,300000.0,100000.0,200000.0,100.0,364,12.0,,0.0,260.0,1078.23786959631,permeance,fig 10,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
959,2,128,9,22,0.0,,7.0,0.58,,,,573.0,300000.0,100000.0,200000.0,100.0,364,12.0,,0.0,260.0,974.567988158288,permeance,fig 10,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
960,2,128,9,22,0.0,,7.0,0.58,,,,473.0,300000.0,100000.0,200000.0,100.0,364,12.0,,0.0,260.0,832.75923774264,permeance,fig 10,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
961,2,128,9,22,0.0,,7.0,0.58,,,,373.0,300000.0,100000.0,200000.0,100.0,364,12.0,,0.0,260.0,650.43272825438,permeance,fig 10,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
962,2,128,9,22,0.0,,7.0,0.58,,,,323.0,300000.0,100000.0,200000.0,100.0,364,12.0,,0.0,260.0,562.066564976668,permeance,fig 10,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
12,1,1,1,1,0.0,,50.0,,,411.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,0.0,289.0,238.0,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
13,1,2,1,1,0.0,,50.0,,,219.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,0.0,289.0,159.0,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
14,1,3,1,1,0.0,,50.0,,,63.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,0.0,289.0,117.0,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
15,1,4,1,1,0.0,,50.0,,,53.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,0.0,289.0,55.0,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
16,1,5,1,2,0.0,,50.0,,,367.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,0.0,289.0,201.0,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
17,1,6,1,2,0.0,,50.0,,,83.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,0.0,289.0,78.0,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
18,1,7,1,2,0.0,,50.0,,,56.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,0.0,289.0,30.0,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
