type;description;support_material;subtype;filler_loadind;previous_thickness;min_thickness;max_thickness;min_pore_size;max_pore_size;pore_volume;specific_surface_area;surface_area;temperature;feed_pressure;permeate_pressure;delta_pressure;feed_flow_rate;sweep_gas;sweep_gas_flow;stage_cut;aging;x_He;P_He;P_He;x_H2;P_H2;P_H2;x_CO2;P_CO2;P_CO2;x_O2;P_O2;P_O2;x_H2S;P_H2S;P_H2S;x_N2;P_N2;P_N2;x_CO;P_CO;P_CO;x_CH4;P_CH4;P_CH4;x_C2H6;P_C2H6;P_C2H6;x_SF6;P_SF6;P_SF6;provided_data_type ;in_reference_data_location;reference;url
polymeric;PI-0.50;NaN;polyimides;none;none;40;60;NaN;NaN;NaN;219;NaN;308;3000000;1000;2999000;NaN;NaN;NaN;0.5;NaN;none;none;none;none;none;none;0.5;51.551214;3.45E-10;none;none;none;none;none;none;none;none;none;none;none;none;0.5;1.209251101;8.09E-12;none;none;none;none;none;none;permeability;fig 6;XIE W et al 2022;https://doi.org/10.1016/j.seppur.2021.120091
polymeric;PI-0.50;NaN;polyimides;none;none;40;60;NaN;NaN;NaN;219;NaN;308;4000000;1000;3999000;NaN;NaN;NaN;0.5;NaN;none;none;none;none;none;none;0.5;50.98787126;3.41E-10;none;none;none;none;none;none;none;none;none;none;none;none;0.5;1.324889868;8.87E-12;none;none;none;none;none;none;permeability;fig 6;XIE W et al 2022;https://doi.org/10.1016/j.seppur.2021.120091
polymeric;PI-0.75;NaN;polyimides;none;none;40;60;NaN;NaN;NaN;63;NaN;308;400000;1000;399000;NaN;NaN;NaN;0.5;NaN;none;none;none;none;none;none;0.5;30.2489441;2.02E-10;none;none;none;none;none;none;none;none;none;none;none;none;0.5;0.389867841;2.61E-12;none;none;none;none;none;none;permeability;fig 6;XIE W et al 2022;https://doi.org/10.1016/j.seppur.2021.120091
polymeric;PI-0.75;NaN;polyimides;none;none;40;60;NaN;NaN;NaN;63;NaN;308;1000000;1000;999000;NaN;NaN;NaN;0.5;NaN;none;none;none;none;none;none;0.5;30.97815923;2.07E-10;none;none;none;none;none;none;none;none;none;none;none;none;0.5;0.531938326;3.56E-12;none;none;none;none;none;none;permeability;fig 6;XIE W et al 2022;https://doi.org/10.1016/j.seppur.2021.120091
polymeric;PI-0.75;NaN;polyimides;none;none;40;60;NaN;NaN;NaN;63;NaN;308;2000000;1000;1999000;NaN;NaN;NaN;0.5;NaN;none;none;none;none;none;none;0.5;27.45052513;1.84E-10;none;none;none;none;none;none;none;none;none;none;none;none;0.5;0.578193833;3.87E-12;none;none;none;none;none;none;permeability;fig 6;XIE W et al 2022;https://doi.org/10.1016/j.seppur.2021.120091
polymeric;PI-0.75;NaN;polyimides;none;none;40;60;NaN;NaN;NaN;63;NaN;308;3000000;1000;2999000;NaN;NaN;NaN;0.5;NaN;none;none;none;none;none;none;0.5;26.29443252;1.76E-10;none;none;none;none;none;none;none;none;none;none;none;none;0.5;0.601321586;4.02E-12;none;none;none;none;none;none;permeability;fig 6;XIE W et al 2022;https://doi.org/10.1016/j.seppur.2021.120091
polymeric;PI-0.75;NaN;polyimides;none;none;40;60;NaN;NaN;NaN;63;NaN;308;4000000;1000;3999000;NaN;NaN;NaN;0.5;NaN;none;none;none;none;none;none;0.5;25.73108978;1.72E-10;none;none;none;none;none;none;none;none;none;none;none;none;0.5;0.647577093;4.33E-12;none;none;none;none;none;none;permeability;fig 6;XIE W et al 2022;https://doi.org/10.1016/j.seppur.2021.120091
polymeric;PI-1.00;NaN;polyimides;none;none;40;60;NaN;NaN;NaN;53;NaN;308;400000;1000;399000;NaN;NaN;NaN;0.5;NaN;none;none;none;none;none;none;0.5;9.972264257;6.67E-11;none;none;none;none;none;none;none;none;none;none;none;none;0.5;0.102422907;6.85E-13;none;none;none;none;none;none;permeability;fig 6;XIE W et al 2022;https://doi.org/10.1016/j.seppur.2021.120091
polymeric;PI-1.00;NaN;polyimides;none;none;40;60;NaN;NaN;NaN;53;NaN;308;1000000;1000;999000;NaN;NaN;NaN;0.5;NaN;none;none;none;none;none;none;0.5;9.515708639;6.37E-11;none;none;none;none;none;none;none;none;none;none;none;none;0.5;0.135462555;9.07E-13;none;none;none;none;none;none;permeability;fig 6;XIE W et al 2022;https://doi.org/10.1016/j.seppur.2021.120091
polymeric;PI-1.00;NaN;polyimides;none;none;40;60;NaN;NaN;NaN;53;NaN;308;2000000;1000;1999000;NaN;NaN;NaN;0.5;NaN;none;none;none;none;none;none;0.5;8.596770186;5.75E-11;none;none;none;none;none;none;none;none;none;none;none;none;0.5;0.135462555;9.07E-13;none;none;none;none;none;none;permeability;fig 6;XIE W et al 2022;https://doi.org/10.1016/j.seppur.2021.120091
