,type,description,support_material,subtype,filler_loading,previous_thickness,mean_thickness,mean_pore_size,pore_volume,specific_surface_area,surface_area,temperature,feed_pressure,permeate_pressure,delta_pressure,feed_flow_rate,sweep_gas,sweep_gas_flow,stage_cut,aging,x_He,Py_He,Pe_He,x_H2,Py_H2,Pe_H2,x_CO2,Py_CO2,Pe_CO2,x_O2,Py_O2,Pe_O2,x_H2S,Py_H2S,Pe_H2S,x_N2,Py_N2,Pe_N2,x_CO,Py_CO,Pe_CO,x_CH4,Py_CH4,Pe_CH4,x_C2H6,Py_C2H6,Pe_C2H6,x_SF6,Py_SF6,Pe_SF6,provided_data_type,in_reference_data_location,reference,url
55,1,1,1,1,0.0,,50.0,,,411.0,,308.0,3000000.0,1000.0,2999000.0,,0,,0.5,0.0,,,,,,,0.5,117.713681507513,7.87835450860814e-10,,,,,,,,,,,,,0.5,3.77142857142857,2.52414595390184e-11,,,,,,,permeability,fig 6,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
56,1,1,1,1,0.0,,50.0,,,411.0,,308.0,4000000.0,1000.0,3999000.0,,0,,0.5,0.0,,,,,,,0.5,115.209172742019,7.71073246440915e-10,,,,,,,,,,,,,0.5,3.97142857142857,2.65800217872997e-11,,,,,,,permeability,fig 6,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
57,1,2,1,1,0.0,,50.0,,,219.0,,308.0,400000.0,1000.0,399000.0,,0,,0.5,0.0,,,,,,,0.5,62.3833314511575,4.17519862012688e-10,,,,,,,,,,,,,0.5,0.971365638766519,6.50116686665246e-12,,,,,,,permeability,fig 6,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
58,1,2,1,1,0.0,,50.0,,,219.0,,308.0,1000000.0,1000.0,999000.0,,0,,0.5,0.0,,,,,,,0.5,54.8122868435912,3.66848289553979e-10,,,,,,,,,,,,,0.5,1.1464757709251,7.67314592764757e-12,,,,,,,permeability,fig 6,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
59,1,2,1,1,0.0,,50.0,,,219.0,,308.0,2000000.0,1000.0,1999000.0,,0,,0.5,0.0,,,,,,,0.5,53.8932128740824,3.60697100959166e-10,,,,,,,,,,,,,0.5,1.24889867841409,8.35864311426741e-12,,,,,,,permeability,fig 6,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
60,1,2,1,1,0.0,,50.0,,,219.0,,308.0,3000000.0,1000.0,2999000.0,,0,,0.5,0.0,,,,,,,0.5,51.5512140033879,3.45022544590021e-10,,,,,,,,,,,,,0.5,1.20925110132158,8.09328936460813e-12,,,,,,,permeability,fig 6,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
61,1,2,1,1,0.0,,50.0,,,219.0,,308.0,4000000.0,1000.0,3999000.0,,0,,0.5,0.0,,,,,,,0.5,50.9878712591756,3.41252197938792e-10,,,,,,,,,,,,,0.5,1.3248898678414,8.86723780111435e-12,,,,,,,permeability,fig 6,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
62,1,3,1,1,0.0,,50.0,,,63.0,,308.0,400000.0,1000.0,399000.0,,0,,0.5,0.0,,,,,,,0.5,30.2489440993788,2.02450473108996e-10,,,,,,,,,,,,,0.5,0.389867841409691,2.60931187164962e-12,,,,,,,permeability,fig 6,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
63,1,3,1,1,0.0,,50.0,,,63.0,,308.0,1000000.0,1000.0,999000.0,,0,,0.5,0.0,,,,,,,0.5,30.9781592320723,2.07330972346491e-10,,,,,,,,,,,,,0.5,0.531938325991189,3.56016280792873e-12,,,,,,,permeability,fig 6,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
64,1,3,1,1,0.0,,50.0,,,63.0,,308.0,2000000.0,1000.0,1999000.0,,0,,0.5,0.0,,,,,,,0.5,27.4505251270468,1.83721183152807e-10,,,,,,,,,,,,,0.5,0.578193832599117,3.86974218253121e-12,,,,,,,permeability,fig 6,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
