,type,description,support_material,subtype,filler_loading,previous_thickness,mean_thickness,mean_pore_size,pore_volume,specific_surface_area,aging,surface_area,temperature,feed_pressure,permeate_pressure,delta_pressure,feed_flow_rate,sweep_gas,sweep_gas_flow,stage_cut,Py_He,Pe_He,Py_H2,Pe_H2,Py_CO2,Pe_CO2,Py_O2,Pe_O2,Py_H2S,Pe_H2S,Py_N2,Pe_N2,Py_CO,Pe_CO,Py_CH4,Pe_CH4,Py_C2H6,Pe_C2H6,Py_SF6,Pe_SF6,provided_data_type,in_reference_data_location,reference,url
349,1,52,1,4,0.0,,110.0,,,759.0,63.15262,2.14,298.0,,,100000.0,,0,,,,,3269.442,9.94625371396645e-09,,,,,,,,,,,,,,,,,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
350,1,52,1,4,0.0,,110.0,,,759.0,346.8306,2.14,298.0,,,100000.0,,0,,,,,2612.795,7.94861079431382e-09,,,,,,,,,,,,,,,,,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
351,1,54,1,4,0.0,,110.9054,,,759.0,2.793727,2.14,298.0,,,100000.0,,0,,,,,2967.348,8.95353159159282e-09,,,,,,,,,,,,,,,,,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
352,1,54,1,4,0.0,,110.9054,,,759.0,27.56215,2.14,298.0,,,100000.0,,0,,,,,2726.003,8.22530892206671e-09,,,,,,,,,,,,,,,,,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
353,1,54,1,4,0.0,,110.9054,,,759.0,186.2339,2.14,298.0,,,100000.0,,0,,,,,2436.925,7.35305901897665e-09,,,,,,,,,,,,,,,,,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
354,1,55,1,4,0.0,,132.508,,,759.0,4.006265,2.14,298.0,,,100000.0,,0,,,,,2211.754,5.58564465331359e-09,,,,,,,,,,,,,,,,,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
355,1,55,1,4,0.0,,132.508,,,759.0,29.09353,2.14,298.0,,,100000.0,,0,,,,,2171.911,5.48502368013033e-09,,,,,,,,,,,,,,,,,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
356,1,55,1,4,0.0,,132.508,,,759.0,189.621,2.14,298.0,,,100000.0,,0,,,,,2038.03,5.14691569351415e-09,,,,,,,,,,,,,,,,,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
722,1,90,6,8,0.0,,,,,,0.0,,303.0,,,100000.0,,340,,,,,,2.79304820598042e-09,,6.89025498729724e-10,,,,,,3.91865703204128e-10,,,,5.43618362015384e-10,,,,,permeance,fig 7,MESSAOUD AB et al 2015,http://dx.doi.org/10.1016/j.seppur.2015.04.017
726,3,91,6,18,5.0,,1.0,,,,0.0,,303.0,,,100000.0,,340,,,,,3.27067284536041,1.09449979931954e-09,1.2530558794349,4.19323323799613e-10,,,,,0.029882809,1e-11,,,0.02154093529712,7.20847069534855e-12,,,,,permeance,fig 7,MESSAOUD AB et al 2015,http://dx.doi.org/10.1016/j.seppur.2015.04.017
