,type,description,support_material,subtype,filler_loading,previous_thickness,mean_thickness,mean_pore_size,pore_volume,specific_surface_area,aging,surface_area,temperature,feed_pressure,permeate_pressure,delta_pressure,feed_flow_rate,sweep_gas,sweep_gas_flow,stage_cut,gas,Py,provided_data_type,in_reference_data_location,reference,url
907,zeolite,unmodified MFI-type,alfa-alumina disks,ZSM-5,0.0,,7.0,0.58,,87.99999999999994,0.0,,373.0,300000.0,100000.0,200000.0,100.0,364,12.0,,260.0,3238.08475332279,permeance,fig 4,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
908,zeolite,unmodified MFI-type,alfa-alumina disks,ZSM-5,0.0,,7.0,0.58,,87.99999999999994,0.0,,298.0,300000.0,100000.0,200000.0,100.0,364,12.0,,260.0,3646.06794031446,permeance,fig 4,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
936,zeolite,counter-diffusion modified,alfa-alumina disks,ZSM-5,0.0,,7.0,0.58,,87.99999999999994,0.0,,773.0,300000.0,100000.0,200000.0,100.0,364,12.0,,260.0,2104.41033038124,permeance,fig 7,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
937,zeolite,counter-diffusion modified,alfa-alumina disks,ZSM-5,0.0,,7.0,0.58,,87.99999999999994,0.0,,673.0,300000.0,100000.0,200000.0,100.0,364,12.0,,260.0,2181.7059768265,permeance,fig 7,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
938,zeolite,counter-diffusion modified,alfa-alumina disks,ZSM-5,0.0,,7.0,0.58,,87.99999999999994,0.0,,573.0,300000.0,100000.0,200000.0,100.0,364,12.0,,260.0,2401.99267303767,permeance,fig 7,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
939,zeolite,counter-diffusion modified,alfa-alumina disks,ZSM-5,0.0,,7.0,0.58,,87.99999999999994,0.0,,473.0,300000.0,100000.0,200000.0,100.0,364,12.0,,260.0,2842.35767752037,permeance,fig 7,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
940,zeolite,counter-diffusion modified,alfa-alumina disks,ZSM-5,0.0,,7.0,0.58,,87.99999999999994,0.0,,373.0,300000.0,100000.0,200000.0,100.0,364,12.0,,260.0,3167.20458137244,permeance,fig 7,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
941,zeolite,counter-diffusion modified,alfa-alumina disks,ZSM-5,0.0,,7.0,0.58,,87.99999999999994,0.0,,323.0,300000.0,100000.0,200000.0,100.0,364,12.0,,260.0,3323.25636644305,permeance,fig 7,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
957,zeolite,one-side modified,alfa-alumina disks,ZSM-5,0.0,,7.0,0.58,,759.0,0.0,,773.0,300000.0,100000.0,200000.0,100.0,364,12.0,,260.0,1153.40777235958,permeance,fig 10,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
958,zeolite,one-side modified,alfa-alumina disks,ZSM-5,0.0,,7.0,0.58,,759.0,0.0,,673.0,300000.0,100000.0,200000.0,100.0,364,12.0,,260.0,1078.23786959631,permeance,fig 10,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
959,zeolite,one-side modified,alfa-alumina disks,ZSM-5,0.0,,7.0,0.58,,722.0,0.0,,573.0,300000.0,100000.0,200000.0,100.0,364,12.0,,260.0,974.567988158288,permeance,fig 10,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
960,zeolite,one-side modified,alfa-alumina disks,ZSM-5,0.0,,7.0,0.58,,685.0,0.0,,473.0,300000.0,100000.0,200000.0,100.0,364,12.0,,260.0,832.75923774264,permeance,fig 10,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
961,zeolite,one-side modified,alfa-alumina disks,ZSM-5,0.0,,7.0,0.58,,685.0,0.0,,373.0,300000.0,100000.0,200000.0,100.0,364,12.0,,260.0,650.43272825438,permeance,fig 10,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
962,zeolite,one-side modified,alfa-alumina disks,ZSM-5,0.0,,7.0,0.58,,685.0,0.0,,323.0,300000.0,100000.0,200000.0,100.0,364,12.0,,260.0,562.066564976668,permeance,fig 10,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
